RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM1,,N01 - 57,HHOLL N01 - BHR CENTERFIRE 57,,,146,17,-4.1,67,102,0.22,0.92,31,-8,12,9,17,0.66,-0.1,20,0.48,0.01,84,62
PM2,,N01 - N5243,HHOLL N01 - GMRA PATRIOT N5243,,,154,17,-4,68,104,0.23,0.82,32,-4,11,9,19,0.64,-0.02,25,0.32,0.01,88,65
PM3,,N01 - N17,HHOLL N01 - HHOLL N17,,,153,15,-3.8,64,94,0.19,0.82,29,-5,12,8,19,0.71,-0.09,20,0.37,-0.01,90,63
PM4,,N02 - 57,HHOLL N02 - BHR CENTERFIRE 57,,,146,17,-3.9,66,102,0.22,0.89,30,-8,12,9,17,0.68,-0.1,18,0.48,0.01,84,63
PM5,,N02 - N5243,HHOLL N02 - GMRA PATRIOT N5243,,,154,17,-3.9,67,104,0.23,0.79,32,-4,11,8,19,0.65,-0.02,24,0.32,0.01,89,66
PM6,,N02 - N17,HHOLL N02 - HHOLL N17,,,153,15,-3.8,63,94,0.19,0.79,29,-5,12,8,19,0.72,-0.09,18,0.37,0,90,64
PM7,,N04 - 57,HHOLL N04 - BHR CENTERFIRE 57,,,141,14,-2.3,68,108,0.25,0.79,28,-5,11,8,17,0.56,-0.03,24,0.29,0,78,63
PM8,,N04 - N5243,HHOLL N04 - GMRA PATRIOT N5243,,,149,14,-2.3,70,111,0.26,0.69,30,-2,10,7,19,0.53,0.05,30,0.13,0,83,66
PM9,,N04 - N17,HHOLL N04 - HHOLL N17,,,148,12,-2.2,65,100,0.22,0.7,27,-3,11,7,19,0.6,-0.02,24,0.18,-0.01,84,64
PM10,,N07 - 57,HHOLL N07 - BHR CENTERFIRE 57,,,135,17,-3.2,64,100,0.23,0.75,31,-6,11,8,17,0.6,-0.03,16,0.27,0.01,77,57
PM11,,N07 - N5243,HHOLL N07 - GMRA PATRIOT N5243,,,142,17,-3.2,65,102,0.23,0.65,32,-2,10,7,20,0.57,0.05,22,0.11,0.01,82,60
PM12,,N07 - N17,HHOLL N07 - HHOLL N17,,,142,15,-3,61,92,0.2,0.65,29,-3,11,7,19,0.64,-0.02,16,0.16,0,83,58
PM13,,N08 - 57,HHOLL N08 - BHR CENTERFIRE 57,,,136,17,-3.3,66,103,0.23,0.73,31,-6,11,8,17,0.6,-0.03,17,0.29,0.01,77,58
PM14,,N08 - N5243,HHOLL N08 - GMRA PATRIOT N5243,,,143,17,-3.3,67,106,0.24,0.63,32,-2,10,8,19,0.57,0.05,23,0.13,0.01,82,61
PM15,,N08 - N17,HHOLL N08 - HHOLL N17,,,143,15,-3.2,63,95,0.2,0.63,30,-3,11,7,19,0.64,-0.02,18,0.17,0,83,59
PM16,,N10 - 57,HHOLL N10 - BHR CENTERFIRE 57,,,142,18,-4.8,59,93,0.21,0.9,28,-7,12,10,17,0.69,-0.1,14,0.41,0.01,80,62
PM17,,N10 - N5243,HHOLL N10 - GMRA PATRIOT N5243,,,150,18,-4.7,61,96,0.22,0.8,29,-4,11,9,19,0.67,-0.02,20,0.25,0.01,85,65
PM18,,N10 - N17,HHOLL N10 - HHOLL N17,,,149,16,-4.6,56,85,0.18,0.8,26,-5,12,9,19,0.74,-0.09,14,0.3,0,86,63
PM19,,N101 - 57,HHOLL N101 - BHR CENTERFIRE 57,,,148,16,-3.8,66,103,0.23,0.74,31,-7,13,8,17,0.71,-0.03,16,0.3,0.02,83,65
PM20,,N101 - N5243,HHOLL N101 - GMRA PATRIOT N5243,,,156,16,-3.7,67,105,0.24,0.64,33,-3,12,8,19,0.69,0.05,22,0.14,0.02,88,67
PM21,,N101 - N17,HHOLL N101 - HHOLL N17,,,155,14,-3.5,63,95,0.2,0.64,30,-4,13,7,19,0.75,-0.02,17,0.19,0,89,66
PM22,,N103 - 57,HHOLL N103 - BHR CENTERFIRE 57,,,121,19,-4.6,61,95,0.21,0.78,27,-8,12,9,15,0.6,-0.08,9,0.29,0.01,72,49
PM23,,N103 - N5243,HHOLL N103 - GMRA PATRIOT N5243,,,129,19,-4.5,63,97,0.22,0.69,28,-4,11,9,18,0.57,0,14,0.13,0.01,76,52
PM24,,N103 - N17,HHOLL N103 - HHOLL N17,,,128,17,-4.3,58,87,0.18,0.69,26,-5,12,8,17,0.64,-0.07,9,0.18,-0.01,78,50
PM25,,N11 - 57,HHOLL N11 - BHR CENTERFIRE 57,,,139,18,-3.9,68,108,0.25,0.84,29,-4,11,9,16,0.58,-0.03,25,0.32,0,73,66
PM26,,N11 - N5243,HHOLL N11 - GMRA PATRIOT N5243,,,147,17,-3.8,69,111,0.26,0.74,30,-1,10,9,18,0.56,0.05,31,0.16,0,78,69
PM27,,N11 - N17,HHOLL N11 - HHOLL N17,,,146,16,-3.7,65,100,0.22,0.75,28,-2,11,8,18,0.62,-0.02,26,0.21,-0.01,79,67
PM28,,N16 - 57,HHOLL N16 - BHR CENTERFIRE 57,,,159,14,-2.7,69,111,0.26,0.82,29,-6,13,7,18,0.69,-0.02,19,0.34,0.02,91,68
PM29,,N16 - N5243,HHOLL N16 - GMRA PATRIOT N5243,,,167,14,-2.7,70,113,0.26,0.72,31,-3,13,7,20,0.67,0.06,25,0.18,0.02,96,71
PM30,,N16 - N17,HHOLL N16 - HHOLL N17,,,166,12,-2.5,66,103,0.23,0.72,28,-4,13,7,20,0.74,-0.01,19,0.22,0.01,97,69
PM31,,N18 - 57,HHOLL N18 - BHR CENTERFIRE 57,,,153,20,-5.2,58,92,0.21,0.61,28,-8,13,10,18,0.67,-0.02,14,0.27,0.02,91,62
PM32,,N18 - N5243,HHOLL N18 - GMRA PATRIOT N5243,,,161,20,-5.2,59,94,0.22,0.51,30,-4,12,10,20,0.65,0.06,19,0.11,0.02,96,65
PM33,,N18 - N17,HHOLL N18 - HHOLL N17,,,160,18,-5.1,55,84,0.18,0.51,27,-5,13,9,20,0.72,-0.01,14,0.16,0.01,97,63
PM34,,N23 - 57,HHOLL N23 - BHR CENTERFIRE 57,,,127,18,-3.8,61,94,0.21,0.7,31,-8,12,9,15,0.61,-0.05,13,0.28,0.01,71,55
PM35,,N23 - N5243,HHOLL N23 - GMRA PATRIOT N5243,,,134,18,-3.8,62,97,0.21,0.6,32,-4,11,8,17,0.59,0.03,19,0.12,0.01,76,58
PM36,,N23 - N17,HHOLL N23 - HHOLL N17,,,134,16,-3.7,58,86,0.18,0.6,30,-5,12,8,17,0.65,-0.04,13,0.17,0,78,56
PM37,,N25 - 57,HHOLL N25 - BHR CENTERFIRE 57,,,119,18,-4.3,61,94,0.2,0.76,31,-7,12,9,16,0.57,-0.07,9,0.28,0.01,73,47
PM38,,N25 - N5243,HHOLL N25 - GMRA PATRIOT N5243,,,127,18,-4.2,63,96,0.21,0.66,32,-3,11,9,18,0.55,0.01,15,0.12,0.01,77,49
PM39,,N25 - N17,HHOLL N25 - HHOLL N17,,,126,16,-4.1,58,86,0.17,0.66,30,-4,12,8,18,0.62,-0.06,9,0.17,0,79,47
PM40,,N28 - 57,HHOLL N28 - BHR CENTERFIRE 57,,,154,19,-4.8,63,99,0.23,0.67,30,-7,13,10,18,0.66,-0.02,16,0.3,0.02,91,63
